,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Rice,14-01-2025,-,14441.54,Metric Tonnes,3064.89,3186.72,3287.63,Rs./Quintal
Cereals,Wheat,14-01-2025,2425.00,15765.60,Metric Tonnes,2809.24,2953.75,3081.21,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),15-01-2025,2775.00,2190.26,Metric Tonnes,2506.87,2585.40,2681.65,Rs./Quintal
Cereals,Barley(Jau),15-01-2025,1980.00,218.36,Metric Tonnes,2347.59,2394.91,2425.54,Rs./Quintal
Cereals,Jowar(Sorghum),15-01-2025,3699.00,758.13,Metric Tonnes,2767.81,3326.04,3700.91,Rs./Quintal
Cereals,Kodo Millet(Varagu),15-01-2025,-,218.58,Metric Tonnes,2290.38,2378.93,2386.29,Rs./Quintal
Cereals,Kutki,15-01-2025,-,67.38,Metric Tonnes,3098.07,3131.46,3181.55,Rs./Quintal
Cereals,Maize,15-01-2025,2400.00,32682.37,Metric Tonnes,2128.31,2286.35,2381.80,Rs./Quintal
Cereals,Paddy(Basmati),15-01-2025,-,7907.01,Metric Tonnes,2626.45,2797.67,2908.06,Rs./Quintal
Cereals,Paddy(Common),15-01-2025,2369.00,360812.54,Metric Tonnes,2275.15,2312.13,2334.34,Rs./Quintal
Cereals,Ragi(Finger Millet),15-01-2025,4886.00,384.40,Metric Tonnes,3020.08,3252.54,3513.39,Rs./Quintal
Cereals,Rice,15-01-2025,-,23628.42,Metric Tonnes,3258.59,3461.23,3681.99,Rs./Quintal
Cereals,Same/Savi,15-01-2025,-,29.00,Metric Tonnes,3096.55,3398.28,3527.59,Rs./Quintal
Cereals,Wheat,15-01-2025,2425.00,25430.25,Metric Tonnes,2820.64,2964.66,3200.01,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),16-01-2025,2775.00,2300.99,Metric Tonnes,2594.41,2745.44,2829.30,Rs./Quintal
